item,price_date,avg_price
DDR3 4Gb 512Mx8 1600/1866,2025-11-04,3.346
DDR4 16Gb (1Gx16)3200,2025-11-04,28.833
DDR4 16Gb (2Gx8) 3200,2025-11-04,26.9
DDR4 8Gb (1Gx8) 3200,2025-11-04,10.629
DDR4 8Gb (512Mx16) 3200,2025-11-04,9.4
DDR5 16Gb (2Gx8) 4800/5600,2025-11-04,16.125
DDR3 4Gb 512Mx8 1600/1866,2025-11-05,3.346
DDR4 16Gb (1Gx16)3200,2025-11-05,29.5
DDR4 16Gb (2Gx8) 3200,2025-11-05,28.0
DDR4 8Gb (1Gx8) 3200,2025-11-05,11.071
DDR4 8Gb (512Mx16) 3200,2025-11-05,9.525
DDR5 16Gb (2Gx8) 4800/5600,2025-11-05,17.319
DDR3 4Gb 512Mx8 1600/1866,2025-11-06,3.372
DDR4 16Gb (1Gx16)3200,2025-11-06,30.0
DDR4 16Gb (2Gx8) 3200,2025-11-06,29.1
DDR4 8Gb (1Gx8) 3200,2025-11-06,11.393
DDR4 8Gb (512Mx16) 3200,2025-11-06,9.7
DDR5 16Gb (2Gx8) 4800/5600,2025-11-06,19.156
DDR3 4Gb 512Mx8 1600/1866,2025-11-07,3.41
DDR4 16Gb (1Gx16)3200,2025-11-07,31.5
DDR4 16Gb (2Gx8) 3200,2025-11-07,30.5
DDR4 8Gb (1Gx8) 3200,2025-11-07,11.571
DDR4 8Gb (512Mx16) 3200,2025-11-07,9.775
DDR5 16Gb (2Gx8) 4800/5600,2025-11-07,20.938
DDR3 4Gb 512Mx8 1600/1866,2025-11-10,3.42
DDR4 16Gb (1Gx16)3200,2025-11-10,32.833
DDR4 16Gb (2Gx8) 3200,2025-11-10,31.9
DDR4 8Gb (1Gx8) 3200,2025-11-10,11.707
DDR4 8Gb (512Mx16) 3200,2025-11-10,9.9
DDR5 16Gb (2Gx8) 4800/5600,2025-11-10,22.1
DDR3 4Gb 512Mx8 1600/1866,2025-11-11,3.43
DDR4 16Gb (1Gx16)3200,2025-11-11,34.167
DDR4 16Gb (2Gx8) 3200,2025-11-11,33.25
DDR4 8Gb (1Gx8) 3200,2025-11-11,11.857
DDR4 8Gb (512Mx16) 3200,2025-11-11,10.225
DDR5 16Gb (2Gx8) 4800/5600,2025-11-11,23.038
DDR3 4Gb 512Mx8 1600/1866,2025-11-12,3.44
DDR4 16Gb (1Gx16)3200,2025-11-12,35.167
DDR4 16Gb (2Gx8) 3200,2025-11-12,33.95
DDR4 8Gb (1Gx8) 3200,2025-11-12,12.179
DDR4 8Gb (512Mx16) 3200,2025-11-12,10.475
DDR5 16Gb (2Gx8) 4800/5600,2025-11-12,23.819
DDR3 4Gb 512Mx8 1600/1866,2025-11-13,3.476
DDR4 16Gb (2Gx8) 3200,2025-11-13,34.01
DDR4 16Gb (2Gx8) eTT,2025-11-13,7.825
DDR4 8Gb (1Gx8) 3200,2025-11-13,12.286
DDR4 8Gb (1Gx8) eTT,2025-11-13,4.048
DDR5 16Gb (2Gx8) 4800/5600,2025-11-13,24.131
DDR5 16Gb (2Gx8) eTT,2025-11-13,9.95
DDR3 4Gb 512Mx8 1600/1866,2025-11-14,3.524
DDR4 16Gb (2Gx8) 3200,2025-11-14,34.375
DDR4 16Gb (2Gx8) eTT,2025-11-14,7.913
DDR4 8Gb (1Gx8) 3200,2025-11-14,12.543
DDR4 8Gb (1Gx8) eTT,2025-11-14,4.106
DDR5 16Gb (2Gx8) 4800/5600,2025-11-14,24.505
DDR5 16Gb (2Gx8) eTT,2025-11-14,10.1
DDR3 4Gb 512Mx8 1600/1866,2025-11-17,3.524
DDR4 16Gb (2Gx8) 3200,2025-11-17,34.75
DDR4 16Gb (2Gx8) eTT,2025-11-17,8.0
DDR4 8Gb (1Gx8) 3200,2025-11-17,12.757
DDR4 8Gb (1Gx8) eTT,2025-11-17,4.17
DDR5 16Gb (2Gx8) 4800/5600,2025-11-17,24.767
DDR5 16Gb (2Gx8) eTT,2025-11-17,10.3
DDR3 4Gb 512Mx8 1600/1866,2025-11-18,3.534
DDR4 16Gb (2Gx8) 3200,2025-11-18,35.0
DDR4 16Gb (2Gx8) eTT,2025-11-18,8.05
DDR4 8Gb (1Gx8) 3200,2025-11-18,12.757
DDR4 8Gb (1Gx8) eTT,2025-11-18,4.206
