launch_time,title,vehicle,launch_site,return_site,mission_type,status,return_time,link
2006-03-24T02:00:00Z,FalconSAT-2 Mission,Falcon 1,Omelek Island,Expended,,final,,falconsat2
2007-03-21T13:10:00Z,DemoSat Mission,Falcon 1,Omelek Island,Expended,,final,,demosat
2008-08-03T15:34:00Z,Trailblazer Mission,Falcon 1,Omelek Island,Expended,,final,,trailblazer
2008-09-29T11:15:00Z,RatSat Mission,Falcon 1,Omelek Island,Expended,,final,,ratsat
2009-07-14T15:35:00Z,RazakSAT Mission,Falcon 1,Omelek Island,Expended,,final,,razaksat
2010-06-04T14:45:00Z,Falcon 9 Demo Mission,Falcon 9,"SLC-40, Florida",Expended,,final,,falcon9demo
2010-12-08T10:42:00Z,COTS 1 Mission,Falcon 9,"SLC-40, Florida",Expended,resupply,final,,cots1
2012-05-22T03:44:00Z,COTS 2+ Mission,Falcon 9,"SLC-40, Florida",Expended,resupply,final,,cots2
2012-10-07T20:34:00Z,CRS-1 Mission,Falcon 9,"SLC-40, Florida",Expended,resupply,final,,crs1
2013-03-01T10:10:00Z,CRS-2 Mission,Falcon 9,"SLC-40, Florida",Expended,resupply,final,,crs2
2013-09-29T09:00:00Z,Cassiope Mission,Falcon 9,"SLC-4E, California",Expended,science,final,,cassiope
2013-12-03T17:41:00Z,SES-8 Mission,Falcon 9,"SLC-40, Florida",Expended,commercialSatellite,final,,ses8
2014-01-06T17:06:00Z,Thaicom-6 Mission,Falcon 9,"SLC-40, Florida",Expended,commercialSatellite,final,,thaicom6
2014-04-18T15:25:00Z,CRS-3 Mission,Falcon 9,"SLC-40, Florida",Expended,resupply,final,,crs3
2014-07-14T11:15:00Z,Orbcomm-1 Mission,Falcon 9,"SLC-40, Florida",Expended,commercialSatellite,final,,orbcomm1
2014-08-05T04:00:00Z,AsiaSat 8 Mission,Falcon 9,"SLC-40, Florida",Expended,commercialSatellite,final,,asiasat8
2014-09-07T01:00:00Z,AsiaSat 6 Mission,Falcon 9,"SLC-40, Florida",Expended,commercialSatellite,final,,asiasat6
2014-09-21T01:52:00Z,CRS-4 Mission,Falcon 9,"SLC-40, Florida",Expended,resupply,final,,crs4
2015-01-10T16:47:00Z,CRS-5 Mission,Falcon 9,"SLC-40, Florida",Expended,resupply,final,,crs5
2015-02-11T18:03:00Z,DSCOVR Mission,Falcon 9,"SLC-40, Florida",Expended,science,final,,discovr
2015-03-01T22:50:00Z,ABS/Eutelsat-1 Mission,Falcon 9,"SLC-40, Florida",Expended,commercialSatellite,final,,abs-eutelsat-1
2015-04-14T20:10:00Z,CRS-6 Mission,Falcon 9,"SLC-40, Florida",Droneship,resupply,final,,crs6
2015-04-27T19:23:00Z,Thales Mission,Falcon 9,"SLC-40, Florida",Expended,commercialSatellite,final,,thales
2015-06-28T10:21:00Z,CRS-7 Mission,Falcon 9,"SLC-40, Florida",Expended,resupply,final,,crs7
2015-12-21T20:29:00Z,ORBCOMM-2 Mission,Falcon 9,"SLC-40, Florida",Landing Zone,commercialSatellite,final,,orbcomm2
2016-01-17T10:42:00Z,Jason-3 Mission,Falcon 9,"SLC-4E, California",Expended,science,final,,jason-3
2016-03-04T18:35:00Z,SES-9 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,ses-9
2016-04-08T20:43:00Z,CRS-8 Mission,Falcon 9,"SLC-40, Florida",Droneship,resupply,final,,crs8
2016-05-06T01:21:00Z,JCSAT-14 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,jcsat14
2016-05-27T09:39:00Z,THAICOM 8 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,thaicom8
2016-06-15T10:29:00Z,Eutelsat/ABS Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,eutelsatabs
2016-07-18T00:45:00Z,CRS-9 Mission,Falcon 9,"SLC-40, Florida",Droneship,resupply,final,,crs9
2016-08-14T05:26:00Z,JCSAT-16 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,jcsat-16
2017-01-14T09:54:00Z,Iridium-1 Mission,Falcon 9,"SLC-4E, California",Droneship,commercialSatellite,final,,iridium-1
2017-02-19T09:39:00Z,CRS-10 Mission,Falcon 9,"LC-39A, Florida",Droneship,resupply,final,,crs10
2017-03-16T02:00:00Z,EchoStar XXIII Mission,Falcon 9,"LC-39A, Florida",Droneship,commercialSatellite,final,,echostarxxiii
2017-03-30T18:27:00Z,SES-10 Mission,Falcon 9,"LC-39A, Florida",Droneship,commercialSatellite,final,,ses10
2017-05-01T19:15:00Z,NROL-76 Mission,Falcon 9,"LC-39A, Florida",Landing Zone,nssl,final,,nrol76
2017-05-15T19:20:00Z,Inmarsat-5 F4 Mission,Falcon 9,"LC-39A, Florida",Droneship,commercialSatellite,final,,inmarsat-5f4
