code,name,date,time,subject,clause,happened,body
1721,國慶科技,1150911,70004,公告本公司名稱由「三晃股份有限公司」更名為 「國慶科技股份有限公司」 ，公告期間：115年07月01日至115年9月30日。,第51款,1150629,"1.事實發生日：民國115年06月29日
2.公司名稱：國慶科技股份有限公司(原名：三晃股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年06月29日
(2)公司名稱變更核准文號：11530099260
(3)更名案股東會決議通過日期：民國115年06月16日
(4)變更前公司名稱：三晃股份有限公司
(5)變更後公司名稱：國慶科技股份有限公司
(6)變更前公司簡稱：三晃
(7)變更後公司簡稱：國慶科技
6.因應措施：無
7.其他應敘明事項：(1)本公司於115/07/01收到經濟部變更登記核准函。
(2)依據臺灣證券交易所股份有限公司營業細則第45條規定，於更名後須連續公告三個月。
(3)本公司股票代號未變動，普通股仍為「1721」。
(4)本公司英文名未更動，仍為「SUNKO INK CO., LTD.」"
2072,世紀風電,1150911,70004,公告本公司名稱由「世紀離岸風電設備股份有限公司」更名 為「世紀能源設備股份有限公司」，公告期間：115年8月26日至 115年11月25日。,第51款,1150824,"1.事實發生日：民國115年08月24日
2.公司名稱：世紀能源設備股份有限公司(原名：世紀離岸風電設備股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年08月24日
(2)公司名稱變更核准文號：經授商字第11530130420號
(3)更名案股東會決議通過日期：民國115年08月12日
(4)變更前公司名稱：世紀離岸風電設備股份有限公司
(5)變更後公司名稱：世紀能源設備股份有限公司
(6)變更前公司簡稱：世紀風電
(7)變更後公司簡稱：世紀能源
6.因應措施：無
7.其他應敘明事項：(1)本公司於115/08/26收到經濟部變更登記核准函。
(2)依據臺灣證券交易所股份有限公司營業細則第45條規定，
於更名後須連續公告三個月。
(3)本公司股票代號未變動，普通股仍為「2072」。
(4)本公司英文名更名為「Century Energy Co., Ltd.」"
6949,沛爾生醫*-創,1150911,70004,公告本公司股票面額由「新台幣10元」變更為「新台幣0.5元」， 公告期間：115年08月06日至115年11月05日。,第51款,1150713,"1.事實發生日：民國115年07月13日
2.公司名稱：沛爾生技醫藥股份有限公司
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司面額變更核准日期/事實發生日：民國115年07月13日
(2)公司面額變更核准文號：經授商字第經授商字第11530095510號號函
(3)董事會決議通過換股計畫書日期：民國115年08月06日
(4)變更前面額：新台幣10.00
(5)變更後面額：新台幣0.50
(6)新股票上市買賣日及舊股票終止上市買賣日：民國115年09月07日
(7)換發股票時程重大訊息公告日期：民國115年08月06日重大訊息公告
6.因應措施：無。
7.其他應敘明事項：一、本公司係辦理變更股票面額，每股面額由新台幣10元變更為新台幣0.5元，業經臺灣
證券交易所函核准在案。
二、配合面額變更，新股票上市買賣日(115年09月07日)之參考價按比例調整為舊股票
最後交易日(115年8月26日)收盤價之20分之1，請投資人注意。
三、股票面額變更後，每股盈餘、每股淨值及每股股價等將有所變動，參閱資訊時須留
意。"
2385,群光,1150911,135844,公告本公司參加群益證券舉辦之3Q26投資論壇，會中向投資人說明本公司業務概況及未來前景,第12款,1150915,"符合條款第四條第XX款：12
事實發生日：115/09/15
1.召開法人說明會之日期：115/09/15
2.召開法人說明會之時間：15 時 00 分
3.召開法人說明會之地點：台北茹曦酒店
4.法人說明會擇要訊息：公告本公司參加群益證券舉辦之3Q26投資論壇，會中向投資人說明本公司業務概況及未來前景
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
3711,日月光投控,1150911,135959,代子公司矽品精密工業(股)公司公告取得廠務工程,第20款,1150911,"1.契約種類:廠務工程
2.事實發生日:115/7/9~115/9/11
3.董事會通過日期: 不適用
4.其他核決日期:
核決層級:總經理核決
民國115年9月11日
5.契約相對人及其與公司之關係:
麗明營造股份有限公司，
與公司關係：無
6.契約主要內容（含契約總金額、預計參與投入之金額及契約起迄日期）
、限制條款及其他重要約定事項:
總金額：NTD 570,430,000；
契約起迄日期：115年7月9日至116年12月31日；
限制條款及其他重要約定事項：無
7.專業估價者事務所或公司名稱及其估價結果:
不適用
8.不動產估價師姓名:
不適用
9.不動產估價師開業證書字號:
不適用
10.取得之具體目的:
供生產及營運用
11.本次交易表示異議之董事意見:
無
12.本次交易為關係人交易:否
13.監察人承認或審計委員會同意日期:
不適用
14.估價報告是否為限定價格、特定價格或特殊價格:否或不適用
15.是否尚未取得估價報告:否或不適用
16.尚未取得估價報告之原因:
不適用
17.估價結果有重大差異時，其差異原因及會計師意見:
不適用
18.會計師事務所名稱:
不適用
19.會計師姓名:
不適用
20.會計師開業證書字號:
不適用
21.前已就同一件事件發布重大訊息日期: 不適用
22.其他敘明事項:
無"
6924,榮惠-KY創,1150911,140201,公告本公司董事會決議辦理現金增資發行新股,第11款,1150911,"1.董事會決議日期:115/09/11
2.增資資金來源:現金增資發行普通股
3.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否
4.全案發行總金額及股數(如屬盈餘或公積轉增資，發行股數則不含配發給員工部分):
發行總金額:新台幣149,960仟元
發行股數:暫定為1,630仟股
實際發行股數及募集資金總額將視實際發行價格及主管機關申報情形調整之
5.採總括申報發行新股案件，本次發行金額及股數:不適用
6.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用
7.每股面額:新臺幣10元
8.發行價格:暫定以每股92元發行，實際發行價格俟本現金增資案向金管會申報生效
後，擬請董事會授權董事長依相關法令規定與承銷商參酌當時市場狀況共同議定之。
9.員工認購股數或配發金額:保留增資發行股數10%由本公司員工及附屬公司之
員工認購。
10.公開銷售股數:依證券交易法第28條之1規定，提撥發行新股總數10%對外公開承銷。
11.原股東認購或無償配發比例:發行新股總數之80%由原股東按認股基準日
股東名簿記載之持股比例認購。
12.畸零股及逾期未認購股份之處理方式:原股東認購不足一股之畸零股，自停止過戶
日起五日內得由股東自行向本公司股務代理機構辦理拼湊成整股認購，其拼湊不足一
股之畸零股及原股東、員工放棄認購或認購不足之股份，授權董事長洽特定人按發行
價格認購。
13.本次發行新股之權利義務:其權利義務與原已發行之普通股股份相同。
14.本次增資資金用途:充實營運資金
15.現金減資後再行募資之合理性及必要性
(募資當年度及前一年度有辦理現金減資者適用):不適用
16.其他應敘明事項:
(1)因應資本市場籌資環境變化快速，為掌握訂定發行條件及實際發行作
業之時效，本次現金增資發行新股籌資計畫有關之發行條件、發行價格以
及計畫所需資金總額、資金來源、計畫項目、資金運用進度、預計可能產
生效益暨其他有關本次現金增資之事宜，如遇有法令變更、經主管機關指
示修正，或因應客觀環境而需變更者或有其他未盡事宜，擬授權董事長視
實際情況全權處理之。
(2)本案經呈報主管機關申報生效後，有關認股基準日、增資基準日及其
他未盡事宜，擬授權董事長視實際情況依相關法令規定辦理。"
6116,彩晶,1150911,140534,代重要子公司南京瀚宇彩欣科技有限責任公司公告 改派董事長,第6款,1150911,"1.董事會決議日期或發生變動日期:115/09/11
2.人員別（請輸入董事長或總經理）:董事長
3.舊任者姓名:陳盛中
4.舊任者簡歷:南京瀚宇彩欣科技有限責任公司董事
5.新任者姓名:柯吉豐
6.新任者簡歷:南京瀚宇彩欣科技有限責任公司總經理
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「職務調整」、「資遣」、
「退休」、「逝世」或「新任」）:解任
8.異動原因:改派
9.新任生效日期:115/09/11
10.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
符合證券交易法施行細則第7條第6款所定對股東權益或證券價格有重大影響之事項):
無。"
6924,榮惠-KY創,1150911,140607,公告本公司董事會決議通過增資子公司榮惠電子(香港)有限公司,第20款,1150911,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
榮惠電子(香港)有限公司股權
2.事實發生日:115/9/11~115/9/11
3.董事會通過日期: 民國115年9月11日
4.其他核決日期: 不適用
5.交易數量、每單位價格及交易總金額:
交易總金額:不超過港幣50,000 仟元(約新台幣203,050仟元)
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
(1)交易相對人:榮惠電子(香港)有限公司
(2)與公司之關係:為本公司100%持有之子公司
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
對子公司現金增資;不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
9.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
10.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
11.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
不適用
12.本次交易之決定方式、價格決定之參考依據及決策單位:
依據民國115年09月11日本公司董事會決議通過
13.取得或處分有價證券標的公司每股淨值:
不適用
14.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
(1)累積持有金額:港幣55,000仟元
(2)持股比例:100%
(3)權利受限情形:無
15.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
(1)占總資產比例：16.48%
(2)占歸屬於母公司業主之權益比率：36.45%
(3)營運資金數額：新台幣507,932仟元
16.經紀人及經紀費用:
不適用
17.取得或處分之具體目的或用途:
長期投資
18.本次交易表示異議董事之意見:
無
19.本次交易為關係人交易:是
20.監察人承認或審計委員會同意日期:
1.民國115年09月11日
21.本次交易會計師出具非合理性意見:不適用
22.會計師事務所名稱:
不適用
23.會計師姓名:
不適用
24.會計師開業證書字號:
不適用
25.是否涉及營運模式變更:否
26.營運模式變更說明:
不適用
27.過去一年及預計未來一年內與交易相對人交易情形:
不適用
28.資金來源:
自有資金
29.前已就同一件事件發布重大訊息日期: 不適用
30.其他敘明事項:
港幣換算匯率按財報匯率4.0610計算"
2324,仁寶,1150911,140613,受邀參加UBS證券舉辦之UBS Taiwan Summit 2026,第12款,1150914,"符合條款第四條第XX款：12
事實發生日：115/09/14
1.召開法人說明會之日期：115/09/14
2.召開法人說明會之時間：11 時 00 分
3.召開法人說明會之地點：台北W飯店
4.法人說明會擇要訊息：UBS證券舉辦之UBS Taiwan Summit 2026，說明本公司業務及現況
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
6116,彩晶,1150911,140624,代重要子公司南京瀚宇彩欣科技有限責任公司公告唯一法人 股東改派董事,第6款,1150911,"1.發生變動日期:115/09/11
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
或自然人監察人）:自然人董事
3.舊任者職稱及姓名:董事/陳盛中
4.舊任者簡歷:南京瀚宇彩欣科技有限責任公司董事
5.新任者職稱及姓名:董事/柯吉豐
6.新任者簡歷:南京瀚宇彩欣科技有限責任公司總經理
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:解任
8.異動原因:解任
9.新任者選任時持股數:不適用
10.原任期（例xx/xx/xx ~ xx/xx/xx）:不適用
11.新任生效日期:115/09/11
12.同任期董事變動比率:1/3
13.同任期獨立董事變動比率:不適用
14.同任期監察人變動比率:不適用
15.屬三分之一以上董事發生變動（請輸入是或否）:是
16.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
符合證券交易法施行細則第7條第6款所定對股東權益或證券價格有重大影響之事項):
無。"
