code,name,year,quarter,revenue,gross,operating,pretax,net,eps
1101,台泥,115,2,71289957.00,12991724.00,5170177.00,6634336.00,3279780.00,0.38
1102,亞泥,115,2,32660010.00,4429174.00,2895481.00,7664453.00,7113707.00,2.13
1103,嘉泥,115,2,1355713.00,281271.00,17979.00,205593.00,177414.00,0.27
1104,環泥,115,2,3559282.00,966432.00,546835.00,890874.00,772816.00,1.13
1108,幸福,115,2,1903969.00,249567.00,133122.00,130212.00,87807.00,0.22
1109,信大,115,2,1857847.00,169518.00,30891.00,50308.00,50378.00,0.15
1110,東泥,115,2,1267331.00,202277.00,112251.00,219296.00,193373.00,0.34
1201,味全,115,2,10445618.00,2780828.00,-45337.00,198690.00,243515.00,0.48
1203,味王,115,2,2634732.00,903152.00,397949.00,457178.00,221005.00,0.93
1210,大成,115,2,53866680.00,7382927.00,2094482.00,2105543.00,1235222.00,1.48
1213,大飲,115,2,150587.00,-2675.00,-22988.00,-30627.00,-31570.00,-0.56
1215,卜蜂,115,2,14401643.00,2630870.00,1333754.00,1223231.00,954246.00,3.24
1216,統一,115,2,349938252.00,118572021.00,20509891.00,27805716.00,14550259.00,2.56
1217,愛之味,115,2,2353539.00,619177.00,19712.00,117996.00,91765.00,0.19
1218,泰山,115,2,5034600.00,793433.00,-50120.00,-731945.00,-786933.00,-1.62
1219,福壽,115,2,6969192.00,372792.00,-200840.00,-407535.00,-308109.00,-0.90
1220,台榮,115,2,1506585.00,131655.00,-25451.00,-19672.00,-21371.00,-0.12
1225,福懋油,115,2,6228202.00,418731.00,101361.00,-103377.00,-157580.00,-0.65
1227,佳格,115,2,13933697.00,3252640.00,577583.00,882379.00,730773.00,0.80
1229,聯華,115,2,5033955.00,1073151.00,390907.00,2500772.00,2166988.00,1.19
1231,聯華食,115,2,6325950.00,1271623.00,474177.00,778392.00,688496.00,2.31
1232,大統益,115,2,11481997.00,1589695.00,960027.00,986073.00,753144.00,4.71
1233,天仁,115,2,1116827.00,676106.00,54208.00,63927.00,53007.00,0.59
